Folder,Status,PDFs Found,PDFs Copied
8CGUUYCU,no_pdfs,0,0
826DAHG8,processed,1,1
89K55CEY,no_pdfs,0,0
8DIIGEJY,no_pdfs,0,0
8DGBN5EU,processed,1,1
8829QC3Y,processed,1,1
8E23AW94,processed,1,1
8EM42D2M,processed,1,1
8EXCX44K,no_pdfs,0,0
86576UH4,processed,1,1
8G4MCSC7,processed,1,1
8E38WAIB,processed,1,1
8DXL3G34,processed,1,1
8HWB8HGL,no_pdfs,0,0
8FW9SSXI,processed,1,1
8HAWNIYX,processed,1,1
8IHGBG3I,processed,1,1
8IWT4WTM,no_pdfs,0,0
8IJ7ALK3,processed,1,1
8EQNQTKM,processed,1,1
8LQL49V7,no_pdfs,0,0
8KLH9IYM,processed,1,1
8MANJ9V6,no_pdfs,0,0
8JBLVPF7,processed,1,1
8MKY8SJ6,processed,1,1
8NI9M6NZ,no_pdfs,0,0
8LSEFIR8,processed,1,1
8NMSEYIE,processed,1,1
8ITIGHTM,processed,1,1
8REJS26E,no_pdfs,0,0
8QQEYMU2,no_pdfs,0,0
8T4359IX,processed,1,1
8TBKVXJ5,processed,1,1
8UBSDPU8,no_pdfs,0,0
8USMIVXP,no_pdfs,0,0
8V5D4N8G,processed,1,1
8WEXPCTA,processed,1,1
8N3MELTX,processed,1,1
8WL754LS,no_pdfs,0,0
8IDE8ML7,processed,1,1
8XC34NKV,processed,1,1
8Z9L3DGD,no_pdfs,0,0
8ZT8BAP6,no_pdfs,0,0
8QFEBF7T,processed,1,1
9233XIN9,processed,1,1
93HANT7I,no_pdfs,0,0
942SQVKC,processed,1,1
8WYIKXX8,processed,1,1
8XVZM5LA,processed,1,1
94SI4GM8,processed,1,1
95FQYKQ6,processed,1,1
95V4FV3Y,processed,1,1
95PTAJU2,processed,1,1
9695RVML,processed,1,1
8RNC5V7U,processed,1,1
94VS9UXE,processed,1,1
977CDJ4L,processed,1,1
972DFGYJ,processed,1,1
7RE6SY9L,processed,1,1
97YFDWEF,processed,1,1
98GYHAJT,processed,1,1
9885SYI8,processed,1,1
99TAV2J7,processed,1,1
92IPN7K2,processed,1,1
99LH7HVW,processed,1,1
9CY928WH,no_pdfs,0,0
9AKJYDPJ,processed,1,1
9AGR55EX,processed,1,1
9D3DYVY6,processed,1,1
9DZ9HLXP,processed,1,1
9EPSXMHJ,no_pdfs,0,0
9AB5F58D,processed,1,1
9G3S9598,no_pdfs,0,0
9AUJIY5T,processed,1,1
99GCFSZL,processed,1,1
9I4QKPUT,no_pdfs,0,0
9IJYBAZS,no_pdfs,0,0
9FT8UA62,processed,1,1
9KQC5MIH,no_pdfs,0,0
9KST9UGB,no_pdfs,0,0
9IL6KK5B,processed,1,1
9EUAIR8F,processed,1,1
9MNIBHTL,no_pdfs,0,0
9GRS7A7W,processed,1,1
9MJRYN7Q,processed,1,1
9LFNBD3M,processed,1,1
9NEW9VK6,processed,1,1
9MWGYFZ5,processed,1,1
9MX9VMK3,processed,1,1
9NG8G529,processed,1,1
9P6XEIDV,no_pdfs,0,0
9PST4DKJ,no_pdfs,0,0
9QT96PLS,no_pdfs,0,0
9G55DWLP,processed,1,1
9N3PHEMQ,processed,1,1
9QV4NLTX,processed,1,1
9NMQ3A74,processed,1,1
9RG96MQT,processed,1,1
9S9ERLZW,processed,1,1
9RJUH37J,processed,1,1
9SSK9V2H,no_pdfs,0,0
9UZZ4PM8,no_pdfs,0,0
9UERTTEV,processed,1,1
9V23GEPI,processed,1,1
9VC5LNQ7,processed,1,1
9SMAVSLU,processed,1,1
9WCG6VQD,processed,1,1
9WKA7YZW,processed,1,1
9UXFMMAY,processed,1,1
9KJ6WZIK,processed,1,1
9XLNWL5C,processed,1,1
9XBQNWKE,processed,1,1
9V7DC4B3,processed,1,1
9Z5NJQKY,processed,1,1
9ZHCIISS,processed,1,1
A263XW5W,no_pdfs,0,0
A2QBTL3T,no_pdfs,0,0
9X2JIXI8,processed,1,1
9Z5DMGVN,processed,1,1
A49LB63Z,processed,1,1
A3858TYL,processed,1,1
9NLNY6WB,processed,1,1
9YTWRRRU,processed,1,1
A5E8S592,processed,1,1
A5W4P43A,no_pdfs,0,0
A5LBADPD,processed,1,1
A6MI9276,processed,1,1
A72B7EJ3,processed,1,1
A7895TCQ,processed,1,1
A86DCDWX,no_pdfs,0,0
A8XE5ZHK,no_pdfs,0,0
A9NTMWNE,processed,1,1
A9SBNXX4,no_pdfs,0,0
AA6M26PJ,no_pdfs,0,0
A5TBS2BG,processed,1,1
AAKIBAAU,processed,1,1
A6VWP4CM,processed,1,1
A6TX4EQB,processed,1,1
ABKLWTRE,no_pdfs,0,0
ABDRHZV6,no_pdfs,0,0
AAID45I3,processed,1,1
A57KUD8V,processed,1,1
ADDPLCFS,no_pdfs,0,0
AAUMEQIV,processed,1,1
AFAZJUKS,processed,1,1
AFHJ3XHX,processed,1,1
AGMX7F4M,no_pdfs,0,0
AGHEFT2H,processed,1,1
AJ7NUQJX,no_pdfs,0,0
ACJK64M4,processed,1,1
AHCKKLLH,no_pdfs,0,0
AKQVK2FU,processed,1,1
AMCV77KQ,no_pdfs,0,0
AMF787RK,processed,1,1
AMCSVB89,processed,1,1
AMLFZ663,no_pdfs,0,0
AMG69V7K,processed,1,1
AJ3IU5BR,processed,1,1
AKNAQQC6,processed,1,1
APJRG58G,no_pdfs,0,0
